Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2015-06-24,19883.15,19922.55,19683.8,19736.3,67000849.0,26978100000.0,21.82,2.92,1.12
2015-06-25,19687.8,19863.1,19674.7,19842.2,101039856.0,40868200000.0,21.94,2.94,1.11
2015-06-26,19791.5,19855.25,19673.05,19814.1,87561121.0,24659500000.0,21.9,2.94,1.11
2015-06-29,19419.4,19608.55,19303.85,19588.2,70673337.0,22252500000.0,21.65,2.9,1.12
2015-06-30,19621.85,19832.2,19606.7,19825.45,75474315.0,28753800000.0,21.91,2.94,1.11
2015-07-01,19900.8,20137.4,19886.45,20065.95,66342091.0,25962000000.0,22.18,2.97,1.1
2015-07-02,20151.75,20320.4,20146.35,20285.4,78371843.0,30490600000.0,22.42,3.01,1.09
2015-07-03,20320.35,20459.85,20225.2,20263.75,61470954.0,25485300000.000004,22.39,3.0,1.09
2015-07-06,20010.3,20413.5,19954.55,20400.3,60431008.0,24727100000.0,22.54,3.02,1.08
2015-07-07,20447.05,20552.85,20371.65,20493.75,77154301.0,30412700000.0,22.65,3.04,1.07
2015-07-08,20323.25,20480.0,20141.7,20264.3,96237353.0,30033200000.0,22.39,3.0,1.09
2015-07-09,20307.6,20371.25,20208.0,20235.8,73036662.0,25283000000.0,22.36,3.0,1.09
2015-07-10,20326.8,20381.8,20153.8,20223.75,72442544.0,23275400000.0,22.35,2.97,1.09
2015-07-13,20302.7,20472.85,20270.85,20463.3,56171640.0,20994100000.0,22.62,3.0,1.08
2015-07-14,20521.75,20580.45,20454.65,20505.95,54823210.0,21216500000.0,22.66,3.01,1.08
2015-07-15,20546.5,20591.2,20445.05,20506.4,59585340.0,19527900000.0,22.66,3.01,1.08
2015-07-16,20577.5,20781.65,20564.3,20761.9,55540427.0,21334300000.0,22.95,3.04,1.06
2015-07-17,20851.05,20916.95,20728.65,20880.25,64184095.0,22713200000.0,23.08,3.03,1.08
2015-07-20,20911.15,20931.6,20823.0,20889.0,76509732.0,22171000000.0,23.09,3.03,1.08
2015-07-21,20944.3,20944.3,20494.1,20556.55,59738796.0,22070300000.000004,22.72,2.98,1.1
2015-07-22,20514.15,20800.85,20483.8,20774.6,51685648.0,22806500000.0,22.96,3.02,1.09
2015-07-23,20860.65,20908.35,20747.85,20789.7,55046866.0,23754800000.0,22.98,3.02,1.09
2015-07-24,20823.25,20864.7,20615.15,20636.7,58132627.0,25745500000.0,22.81,2.98,1.11
2015-07-27,20578.95,20578.95,20353.55,20378.05,57949139.0,25951800000.0,22.52,2.94,1.12
2015-07-28,20417.7,20448.5,20280.15,20325.9,84222554.0,28813000000.0,22.68,2.94,1.13
2015-07-29,20388.3,20485.0,20354.85,20421.6,69961054.0,27319899999.999996,22.78,2.95,1.12
2015-07-30,20516.85,20676.9,20512.35,20571.7,102540013.0,36674100000.0,22.85,2.97,1.11
2015-07-31,20626.95,20881.7,20626.95,20813.35,95884009.0,35254600000.0,23.01,2.99,1.17
2015-08-03,20892.6,21050.45,20865.0,20989.1,70562264.0,29849000000.0,23.52,3.02,1.16
2015-08-04,21076.45,21335.45,21009.0,21305.8,99029517.0,40813700000.0,23.85,3.06,1.14
2015-08-05,21441.1,21567.45,21428.85,21499.9,92347425.0,35867000000.0,24.28,3.09,1.13
2015-08-06,21553.4,21608.8,21439.85,21594.05,80821173.0,33303400000.0,24.5,3.11,1.13
2015-08-07,21630.95,21667.65,21478.15,21520.3,71853716.0,30085300000.000004,24.38,3.09,1.13
2015-08-10,21597.9,21730.8,21459.7,21524.5,63742674.0,27501100000.0,24.35,3.13,1.11
2015-08-11,21613.7,21617.6,21234.55,21393.6,72847447.0,27638200000.0,24.16,3.11,1.12
