IMDB_titleID,IMDB_rating,IMDB_title_name
/title/tt6251390/,5.0 based on 509 user ratings, Under the Eiffel Tower (2018) 
/title/tt5278460/,"7.2 based on 4,892 user ratings", Audrie & Daisy (2016) 
/title/tt6081882/,"6.6 based on 2,189 user ratings", Iliza Shlesinger: Confirmed Kills (2016) (TV Special) 
/title/tt7718088/,"7.2 based on 9,005 user ratings", Bonding (2019) (TV Series) 
/title/tt1935782/,6.7 based on 88 user ratings," Do Paise Ki Dhoop, Chaar Aane Ki Baarish (2009) "
/title/tt2396566/,"7.4 based on 11,684 user ratings"," Twenty Feet from Stardom (2013) aka ""20 Feet from Stardom"" "
/title/tt5164184/,"5.8 based on 10,826 user ratings", In Darkness (2018) 
/title/tt7291268/,"7.0 based on 10,448 user ratings", Gaga: Five Foot Two (2017) 
/title/tt4334266/,"5.3 based on 23,029 user ratings", The Bad Batch (2016) 
/title/tt4184878/,"3.3 based on 5,785 user ratings", Smosh: The Movie (2015) 
/title/tt8329618/,5.5 based on 221 user ratings, King of Boys (2018) 
/title/tt9837502/,5.9 based on 77 user ratings, Merry Men: The Real Yoruba Demons (2018) 
/title/tt1668200/,"7.5 based on 15,416 user ratings"," Elle s'appelait Sarah (2010) aka ""Sarah's Key"" "
/title/tt7827944/,4.5 based on 181 user ratings, The Wedding Party 2: Destination Dubai (2017) 
/title/tt8523042/,"8.4 based on 1,516 user ratings"," Baegabondeu (2019) (TV Series) aka ""Vagabond"" "
/title/tt8893566/,7.2 based on 253 user ratings, Battlefish (2018) (TV Series) 
/title/tt8528256/,6.9 based on 347 user ratings, Dragon Pilot: Hisone and Masotan (2018) (TV Series) 
/title/tt6385540/,"8.6 based on 4,469 user ratings", Hilda (2018) (TV Series) 
/title/tt5580146/,"7.8 based on 56,647 user ratings", Maniac (2018) (TV Mini-Series) 
Not Found,Not Found,Not Found
/title/tt9038520/,6.5 based on 151 user ratings, Rafinha Bastos: Ultimato (2018) (TV Special) 
/title/tt7183074/,"7.0 based on 4,310 user ratings", The Good Cop (2018) (TV Series) 
/title/tt9398640/,"6.1 based on 21,240 user ratings", Between Two Ferns: The Movie (2019) 
/title/tt10986052/,"7.2 based on 1,848 user ratings", Criminal: France (2019) (TV Series) 
/title/tt10986056/,"7.7 based on 2,448 user ratings", Criminal: Germany (2019) (TV Series) 
/title/tt10986050/,"6.9 based on 1,974 user ratings", Criminal: Spain (2019) (TV Series) 
/title/tt9348692/,"7.4 based on 6,738 user ratings", Criminal: UK (2019) (TV Series) 
Not Found,Not Found,Not Found
/title/tt10837476/,"8.0 based on 5,618 user ratings", Inside Bill's Brain: Decoding Bill Gates (2019) (TV Mini-Series) 
/title/tt9486226/,6.9 based on 134 user ratings," Les de l'hoquei (2019) (TV Series) aka ""The Hockey Girls"" "
/title/tt8748256/,"5.9 based on 1,855 user ratings"," Yol Arkadasim 2 (2018) aka ""Travel Mates 2"" "
Not Found,Not Found,Not Found
/title/tt6873926/,5.4 based on 699 user ratings, Two Sentence Horror Stories (2017) (TV Series) 
Not Found,Not Found,Not Found
/title/tt1587790/,7.9 based on 876 user ratings," Mobile Suit Gundam Unicorn (2010) (TV Mini-Series) aka ""Mobile Suit Gundam UC"" "
Not Found,Not Found,Not Found
/title/tt3422314/,5.1 based on 209 user ratings," Promakhos (2014) aka ""The First Line"" "
Not Found,Not Found,Not Found
/title/tt8507498/,7.6 based on 74 user ratings, Monkey Twins (2018) (TV Series) 
/title/tt4911780/,5.8 based on 306 user ratings, Bitcoin Heist (2016) 
/title/tt5918090/,"6.9 based on 1,867 user ratings", I Am Not Madame Bovary (2016) 
/title/tt3704298/,"5.5 based on 1,694 user ratings", Vincent N Roxxy (2016) 
/title/tt6088326/,"8.3 based on 1,186 user ratings", Chef's Table: France (2016) (TV Series) 
/title/tt6035850/,6.9 based on 200 user ratings, Kulipari: An Army of Frogs (2016) (TV Series) 
/title/tt2667960/,"5.4 based on 4,785 user ratings", Miss Julie (2014) 
/title/tt8983202/,"7.1 based on 22,205 user ratings", Kabir Singh (2019) 
/title/tt0765128/,"7.8 based on 8,780 user ratings", Océans (2009) 
/title/tt3986820/,"6.5 based on 26,132 user ratings", The Endless (I) (2017) 
/title/tt2139371/,6.5 based on 689 user ratings, Transformers: Rescue Bots (2011) (TV Series) 
/title/tt7310906/,"7.0 based on 4,581 user ratings", Jerry Before Seinfeld (2017) (TV Special) 
/title/tt5618256/,"8.1 based on 42,032 user ratings", Manhunt (II) (2017) (TV Series) 
Not Found,Not Found,Not Found
Not Found,Not Found,Not Found
Not Found,Not Found,Not Found
Not Found,Not Found,Not Found
Not Found,Not Found,Not Found
Not Found,Not Found,Not Found
/title/tt2597768/,"5.7 based on 7,397 user ratings", Come and Find Me (2016) 
/title/tt10826064/,8.0 based on 401 user ratings," Dongbaekkkot Pil Muryeop (2019) (TV Series) aka ""When the Camellia Blooms"" "
Not Found,Not Found,Not Found
/title/tt7130740/,5.7 based on 393 user ratings, Barbie: Dolphin Magic (2017) (Video) 
/title/tt1147684/,"5.2 based on 5,608 user ratings", Forget Me Not (II) (2009) 
